"conno","clssc_nm","entrp_nm","cont","unmrg_yr","undrt_ntn_nm","undrt_entrp_itm_nm","sell_ntn_nm","sell_entrp_nm","sell_entrp_itm_nm","unmrg_amt_val","unmrg_prps_cont","spftr_cont","rmrk","opert_sctin_cd","data_crtin_dt","cntct_prces_stts_cd","cntct_prces_dt"
"131",국내-국내(In-In),NHN(서치솔루션),"<p>NHN의 자회사인 서치솔루션은 인수대금 34억원으로 큐브리드의 지분 100%를 인수하였고, 큐브리드는 NHN의 계열사로 편입됐다.<br></p>","2008","",소프트웨어 개빌 및 공급,"",큐브리드,큐브리드,"32.7",DB관련기술 개발,"","",I,"20210119",S,"20231014"
"760",국내-국내(In-In),한국주강,"<p>본 합병을 통해 합병법인인 한국주강 주식회사가 피합병법인인 한국스틸 주식회사을 종속회사로 유지함에 따른 불필요한 자원낭비를 줄이고 인적, 물적 자원을 효율적으로 활용함으로써 경영효율성 증대를 기대할 수 있습니다. 또한 통합 전략 수립을 통해 시너지효과를 극대화시켜 회사의 재무 및 영업에 긍정적인 영향을 미칠 것으로예상합니다.<br></p>","2017","",특수목적용 기계 제조업,"",한국스틸,한국스틸,"",영업경쟁력 강화 및 통합 운영에 따른 경영 효율성 제고,"","",I,"20210119",S,"20231014"
"897",국내-국내(In-In),SK건설,"<p>이번 인수를 통해 SK건설은 EMC홀딩스의 사업을 기반으로 리유즈(Reuse)ㆍ리사이클링(Recycling) 등 기술을 적극 개발해 기술력 중심의 친환경기업으로 성장해나갈 방침이다. 디지털 기반 친환경 제조공간인 스마트그린산단조성, 폐열ㆍ폐촉매를 활용한 신에너지 발전, 터널ㆍ지하공간 기술력과 융합한 신개념 복합 환경처리 시설 개발 등 기존 플랜트 및 인프라 현장과 접목한 신사업도 함께 추진해나갈 예정이다.</p>","2020","",건설,"",EMC홀딩스,EMC홀딩스,"10000",환경산업 관련 진출 및 시너지 창출,"","",I,"20211222",S,"20231014"
"607",국내-국내(In-In),아진산업,"<p>아진산업은 아진금형텍 발행주식을 100% 소유하고 있으며, 합병 신주를 발행하지 않는 무증자 합병으로 진행하므로 본 합병이 아진산업의 경영, 재무, 영업에 유의적 영향을 미치지는 않을 것이나 향후 합병을 통한 경영효율성 증대가 기대된다.</p><p>합병 완료 후 아진산업은 존속회사로 남아있고 아진금형텍은 해산하게 되며 합병 완료후 아진산업의 주주 변경은 없다.</p>","2018","",자동차부품,"",아진금형텍,아진금형텍,"",경영효율성 제고,"","",I,"20210119",S,"20231014"
"196",국내-국내(In-In),바른손이앤에이,<p>(주)바른손이앤에이의 보통주식은 (주)바른손필름 1주당 0.9717400주를 교부함.</p><p>합병으로 인하여 발생하는 1주 미만의 단주에 대해서는 합병주식의 주권상장일의 종가로 계산된 금액을 현금으로 지급함.&nbsp;</p>,"2015","",온라인 게임 소프트웨어,"",바른손필름,바른손필름,"",사업의 다각화를 통한경쟁력 강화 및 경영 효율성 증대로 주주가치의 극대화를 실현,"","",I,"20210119",S,"20231014"
"585",국내-국내(In-In),지트리비앤티,"<p>주식회사 지트리비앤티와 주식회사 와이에스팜의 합병이 완료되면 주식회사 지트리비앤티가 존속법인이 되고 주식회사 와이에스팜은 해산할예정입니다.</p><p><br></p><p>- 합병을 통하여 바이오 사업의 영역확장이 가능할 수 있게 되며, 주식회사 와이에스팜의 우수한 수익창출 능력 및 인력의 흡수를 통해 사업간시너지 효과가 창출될 것으로 예상됩니다.</p><p>- 매출증대에 따른 외형성장과 수익성 개선에 따라 재무상태에 긍정적인 영향을 미칠 것으로 예상됩니다.</p>","2018","",기타 전자부품 제조,"",와이에스팜,와이에스팜,"72",사업영역 확장을 통한 경쟁력 강화와 매출증대에 따른 외형성장을 도모하여 경영효율성을 제고,"","",I,"20210119",S,"20231014"
"105",해외-해외(Out-Out),윌트 디지니,<p>월트 디즈니가 10년간 애니메이션 파트너로 손잡고 일해 온 픽사 애니메이션 스튜디오를 74억 달러에 사들이기로 하였다. 이는 요동치는 애니메이션계에서 지백적인 위치를 차지하고자 하는 사전 포석으로 해석된다. 할리우드에서는 디즈니의 이번 인수에 따라 픽사의 CEO인 스티븐 잡스가 개인 주주로는 최대 지분을 확보하면서 디즈니 최고 이사회에 합류한다는 점에도 주목하고 있다. 인수금액은 기존 픽사의 현 주가에서 4% 프리미엄을 더 붙인 것이다.<br></p>,"2006",미국,미디어,미국,픽사,픽사,"74억달러",시장 확대,"","",I,"20210119",S,"20231014"
"500",국내-국내(In-In),에스피씨삼립,"<p>1. 회사 경영에 미치는 효과</p><p>본 주요사항보고서 제출일 현재 (주)에스피씨삼립은 (주)그릭슈바인의 지분을 100% 보유하고 있음. 본 합병 완료시 (주)에스피씨삼립은 존속회사로 계속 남아 있게 되며, 피합병법인 (주)그릭슈바인은 합병 후 해산하게 됨. 합병법인 (주)에스피시삼립은 본 합병을 함에 있어 신주를 발행하지 않으며, 본 합병 완료 후 (주)에스피씨삼립의 최대주주 변경은 없음</p><p><br></p><p>2. 회사 재무 및 영업에 미치는 영향 및 효과</p><p>본 합병을 통해 경영 효율성을 제고하여, 회사의 재무 및 영업에 긍정적인 영향을 미칠 것으로 예상함</p>","2018","",제과 제빵,"",그릭슈바인,그릭슈바인,"",완전 자회사의 흡수합병을 통해 경영 효율성을 제고하고자 함,"","",I,"20210119",S,"20231014"
"642",국내-국내(In-In),지니언스,"<p>지니언스는 피합병법인인 레드스톤소프트 발행주식의 100%을 보유하고 있으며, 합병법인은 피합병법인을 1:0으로 흡수합병하여 합병법인인 지니언스는 존속회사로 계속 남고, 파헙병법인인 레디스톤소프트는 소멸됨.<br></p>","2019","",보안 솔루션,"",레드스폰소프트,레드스폰소프트,"",종속회사로 유지함에 따라 발생하는 비용의 절감을 통한 경영효율성 제고,"","",I,"20210119",S,"20231014"
"147",국내-국내(In-In),SK플래닛,"<p>전체 2,000만 달러(한화 약 220억원) 규모로 진행됐으며 SK플래닛 외에도 영국의 BBC 월드와이드와 비키사의 주요 주주인 그레이락파트너스 등이 참여했다.<br></p>","2011","","통신, 플랫폼","",viki,viki,"220",글로벌 영상 플랫폼 시장 진출,"","",I,"20210119",S,"20231014"
"258",국내-국내(In-In),한국제3호기업인수목적,"<p>한국제3호기업인수목적㈜의 최대주주는 ㈜에이씨피씨이며 6.80%를 보유하고 있고, 씨아이에스㈜의 최대주주는 김수하 외 3인으로 35.55%를 보유하고 있습니다. 합병 완료시 존속법인의 최대주주는 김수하 외 3인으로 30.49%로 변경(합병비율 1:12.6525000으로 합병 가정시)됩니다.</p><p>한국제3호기업인수목적㈜와 씨아이에스㈜의 합병이 완료되면 형식적으로는 한국제3호기업인수목적㈜가 존속법인이 되고 씨아이에스㈜은 소멸법인이 되나, 실절적으로는 씨아이에스㈜이 사업의 계속성을 유지한 채 코스닥시장에 상장하는 효과를 가지게 됩니다.</p><p>한편, 한국제3호기업인수목적㈜는 다른 기업과의 합병만을 유일한 목적으로 하는 명목회사로서 씨아이에스㈜과 합병 후 존속법인은 씨아이에스㈜의 주요 사업인 2차전지 전극제조장비 제조업 등을 주요 사업으로 할 것입니다. 한편, 한국제3호기업인수목적㈜의 설립 및 코스닥시장 공모 시에 모집된 자금은 합병존속법인의 사업 확장 및 운영자금 등으로 사용될 예정이며, 이를 통해 매출 증대 및 이익 실현이 가속화 될 것이라 예상됩니다.</p>","2016","",기업인수,"",씨아이에스,씨아이에스,"844",지속적인 성장을 위한 투자재원을 확보,"","",I,"20210119",S,"20231014"
"822",국내-국내(In-In),강원,"<p>에스디시스템의 최대주주인 (주)우석플래닝 및 (주)레몬페이스가 보유한 (주)에스디시스템의 보통주식(1,308,431주,14.47%)을 (주)강원(구(주)웰크론강원)에게 양도하기로 하고, 경영권을 양도하는 주식양수도계약을 체결하였습니다.<br></p>","2019","",산업용플랜트설비사업,"",우석플래닝,우석플래닝,"73",최대주주 변경을 수반하는 주식양수도 계약,"","",I,"20210119",S,"20231014"
"523",국내-국내(In-In),에이치엠씨아이비제3호기업인수목적,"<p>회사의 합병 완료 시, 존속법인은 코스닥시장에 기상장 되어있는 에이치엠씨아이비제3호기업인수목적㈜이나, 실질적인 경영활동은 소멸법인이자 피합병법인인 ㈜본느가 기존 사업을 통해 영위하게 됩니다.</p><p>합병을 통하여 ㈜본느는 실제로 코스닥시장에 상장하는 효과를 누리게 될 것입니다. 이로서 상장법인으로서의 인지도를 확보하게 되어, 회사의 사업 확장 및 대외 신인도에 긍정적인 효과를 가져올 수 있을 것으로 보입니다.</p>","2018","",기업인수,"",본느,본느,"452",유입자금을 통한 재무안정성 제고,"","",I,"20210119",S,"20231014"
"349",국내-국내(In-In),두산,"<p>합병법인인 (주)두산은 피합병법인인 디아이피홀딩스㈜의 주식을&nbsp; 100% 소유하고 있으며, 합병 시 합병법인은 피합병법인의 주식에 대해 신주를 발행하지 않으므로 합병비율을 1.0000000 : 0.0000000 으로 산출함<br></p>","2017","",기타 기계 및 장비 제조업,"",디아이피홀딩스,디아이피홀딩스,"",완전자회사의 흡수합병을 통해 경영 효율성을 제고하고자 함,"","",I,"20210119",S,"20231014"
"392",해외-해외(Out-Out),징시중공업(京西重工),"<p><span style=""color: rgb(0, 0, 0);"">﻿</span>2009년 정부(북경 시) 주도로 징시중공업 설립, 미국 델파이의 브레이크·서스펜션 사업 부문 인수했다. 베이징시가 델파이 인수에 적극적으로 나섰던 이유는 북경시 자동차업체의 부품 조달 의존도가 베이징현대차 등 해외 업체에 집중하고 핵심 기술 확보없는 제품 생산은 모방에 지나지 않는다는 중국 정부와 기업들의 자각이 크게 작용했다.</p><p>델파이의 매각 이유는 파산을 피하기 위한 현금 확보로 매각 당시, 경영난 타개를 위해 구조조정을 했었다.</p><p>델파이의 생산시설 뿐 아니라 지적재산권까지 모두 매수하는 자산인수 방식으로 기술유출 논란을 사전에 방지했다.</p>","2009",중국,조인트 벤처 투자 컨소시엄,미국,델파이 브레이크,델파이 브레이크,"1억달러",선진기술 및 경영노하우 획득,"","",I,"20210119",S,"20231014"
"524",국내-국내(In-In),하나금융7호기업인수목적,"<p>하나금융7호기업인수목적(주)는 유일한 사업 목적인 다른 기업과의 합병을 달성하게 되며 실질적인 경영활동은 피합병법인인 (주)에치에프알의 사업을 통해 영위하게 됩니다.</p><p>(주)에치에프알은 합병을 통해 하나금융7호기업인수목적(주)가 보유한 예치금을 투자에 활용하는 것은 물론 코스닥시장에 상장하는 효과를 누리게 되며 이러한 과정에서 언론 및 투자자에게 많은 노출의 기회를 가질 수 있습니다. 또한, 투자금의 유입으로 제고되는 재무구조를 활용하여 보다 낮은 금리로 시장에서 자금을 조달할 수 있으며 코스닥시장 상장사로서 기관투자자, 애널리스트 등은 물론 개인투자자로부터 관심을 받게 되어 직원의 자긍심을 고취하고 사업 확장 및 대외 인지도 향상에 큰 효과가 있을 것으로 예상됩니다.</p>","2018","",기업인수,"",에치에프알,에치에프알,"1040",상장을 통한 자금조달로 신규투자를 통한 지속적인 기업 성장,"","",I,"20210119",S,"20231014"
"364",국내-국내(In-In),프로텍,"<p>(주)프로텍은 (주)피에스의 발행주식을 100%보유하고 있으며, 합병 신주를 발행하지 않는 무증자 합병을 진행하므로 본 합병이 존속회사인 (주)프로텍의 경영, 재무, 영업에 유의적 영향을 미치지는 않을 것이나 조직통합을 통한 경영효율화 및 새로운 기술(잉크젯프린팅)의 습득으로 시너지 효과가 기대됩니다.<br></p>","2018","",반도체 제조용 기계 제조업,"",피에스,피에스,"",조직 통합을 통한 경영효율화 및 사업시너지 극대화,"","",I,"20210119",S,"20231014"
"497",해외-해외(Out-Out),Reckitt Benckiser,<p>영국의 글로벌 퍼스널케어 기업 레킷벤키저社가 미국의 메이저 분유 제조업체 미드 존슨 뉴트리션社를 한 주당 현금 90달러 총 160억 달러 상당의 조건에 인수하였다.&nbsp;</p>,"2017",영국,퍼스널케어,영국, Mead Johnson, Mead Johnson,"166억달러","","","",I,"20210119",S,"20231014"
"614",국내-국내(In-In),서울바이오시스,"<p>합병을 통해 서울바이오시스가 레이칸을 종속회사로 유지함에 따른 불필요한 자원낭비를 줄이고 인적, 물적 자원을 효율적으로 활용함으로써, 경영효율성 증대를 기대할 수 있다. 또한 통합전략 수립을 통해 시너지효과를 극대화시켜 회사의 재무 및 영업에 긍정적인 영향을 미칠 것으로 예상됨.<br></p>","2018","",반도체소자,"",레이칸,레이칸,"",사업 확장 및 구조개편,"","",I,"20210119",S,"20231014"
"139",국내-국내(In-In),와이브랜트,<p>라이코스의 모회사인 다음은 다른 서비스 투자를 위한 자금목적으로 와이브랜트에게 라이코스를 매각하기로 하였다.<br></p>,"2010","",인터넷 검색 마케팅,"",라이코스,라이코스,"426",사업 확장,"","",I,"20210119",S,"20231014"
"714",국내-국내(In-In),SK케미칼,"<p>(1) 회사의 경영에 미치는 영향 및 효과</p><p>- 본 합병 완료시 SK케미칼(주)는 존속회사로 남아있게 되며 피합병법인인 이니츠(주)는 합병 후 해산하게 됨</p><p>- 본 합병으로 인한 존속회사의 최대주주 변경은 없으며 실질적인 경영권 변동은 발생하지 않음</p><p>- 합병법인 SK케미칼(주)는 본 합병을 함에 있어 신주를 발행하지 않음</p><p><br></p><p>(2) 회사의 재무에 미치는 영향 및 효과</p><p>- 본 합병으로 인해 각각 별도법인으로 운영됨에 따라 발생했던 관리 중복, 불필요한 비용 지출 등을 제거하고 효율적인 자원 배분으로 역량을 집중해 합병회사의 전반적인 비용 절감 및 재무구조 개선이 될 것으로 기대됨</p><p>- 존속회사는 합병기일에 소멸회사의 자산, 부채 및 권리, 의무의 일체를 승계함</p><p><br></p><p>(3) 회사의 영업에 미치는 영향 및 효과</p><p>- 법인간 분리되어 있던 운영주체가 일치되어 비용절감 및 시너지를 극대화하여 기업가치를 높일 수 있을 것으로 예상되며 양사간 합병은 궁극적으로 주주가치를 제고하고 회사의 재무 및 영업에 긍정적인 영향을 미칠 것으로 판단됨</p>","2019","",합성수지 및 기타 플라스틱,"",이니츠,이니츠,"","PPS사업 운영의 신속한 의사결정, 재무 안정성, 운영 효율성 개선을 통한 기업가치 제고","",자회사,I,"20210119",S,"20231014"
"101",해외-해외(Out-Out),미탈스틸,"<p>인도 출신 철강재벌 락시미 미탈이 이끄는 네덜란드의 미탈스틸 주주들은 미국의 인터내셔널 스틸 그룹(ISG)을 45억달러에 인수하는 방안을 최종 승인했다. 미탈은 이와 함께 인도와 리비아의 철광석 자산을 인수, 유럽과 아시아 시장의 공급을 늘리기로 했다.</p><p>이번 인수로 미탈스틸은 연간 7000만t의 철강을 생산하고 312억달러의 매출을 올릴 것으로 예상돼 지난해 4280만t을 생산한 유럽의 아르셀러를 제치고 세계 최대 철강업체로 떠올랐다</p><p>멀레이 무커지 미탈스틸 사장은 “ISG를 인수함에 따라 앞으로 5년동안 16만명의 종업원 중 4만명을 감원할 예정”이라며 “유럽과 미국 지역의 인력을 줄이겠지만 두 지역 모두 생산성이 높아 별다른 차질이 빚어지지는 않을 것”이라고 밝혔다.</p><p>미탈스틸 중동부 유럽 담당 사장인 로랜드 반은 “앞으로 5년 동안 유럽에 15억달러를 투자할 계획”이라며 “앞으로 몇 년 간은 경쟁력을 강화하기 위한 자본투자를 계속하겠다”고 밝혔다.</p>","2005",네덜란드,철강,미국,ISG,ISG,"45억달러","","","",I,"20210119",S,"20231014"
"324",국내-국내(In-In),신영해피투모로우제2호기업인수목적,"<p>신영해피투모로우제2호기업인수목적㈜는 다른 기업과의 합병만을 유일한 목적으로 하는 회사로서 패션플랫폼㈜와 합병 후에는 패션플랫폼㈜의 주요 사업인 여성의류 기획 및 판매 등을 주요 사업으로 할 것입니다.</p><p>한편, 신영해피투모로우제2호기업인수목적㈜의 설립 및 코스닥시장 공모 시에 모집된 자금은 합병존속법인의 사업의 확장 및 안정을 위하여 사용될 예정이며 이로써 매출 증대 및 이익 실현이 가속화 될 것이라 예상됩니다.</p><p>패션플랫폼㈜는 국내의 대표적인 여성의류 업체로서 신규 브랜드 런칭 및 유통망 확대를 통해 매출 및 수익성의 지속적인 성장을 기록하였습니다. 이를 기반으로 신규 브랜드 런칭 및 유통망 확대를 계획하고 있습니다.</p><p>패션플랫폼㈜는 신영해피투모로우제2호기업인수목적㈜와의 합병을 통해 자기자본을 확충하고 이를 투자재원으로 활용함으로써 국내 시장에서의 시장점유율 확대, 신규 브랜드 런칭에 투자함으로써 사업의 성장을 이룰 수 있을 것으로 예상됩니다.</p>","2017","",기업인수,"",패션플랫폼,패션플랫폼,"352","신규 브랜드 런칭 및 유통망 확대, 재무적 안정성 제고","","",I,"20210119",S,"20231014"
"405",해외-해외(Out-Out),이토추상사,"<p>이토추와 미국 투자펀드가 석유ㆍ가스 업체인 오클라호마주의 샘슨인베스트먼트를 5천400억엔(약 8조원)에 인수하기로 했다.</p><p>이토추는 이 업체의 인수를 통해 확보한 액화천연가스(LNG)를 2015년 이후 일본에 수출할 계획이다.</p><p>이토추는 후쿠시마(福島) 제1원자력발전소의 방사성 물질 유출 사고 이후 원자력발전소의 가동이 중단되면서 화력발전을 위한 LNG 수요가 급증할 것으로 예상하고 있다.</p><p>샘슨인베스트먼트 인수에 투입되는 자금은 미국 투자펀드가 75% 안팎, 이토추가 25%를 투자한다.</p><p>샘슨인베스트먼트는 천연가스 생산 판매에서 미국 내 19위 업체로 연간 천연가스 매출액은 16억 달러 정도이다.</p><p>이 업체는 미개발 유전과 가스전을 다수 보유하고 있어, 석유 생산의 경우 현재 하루 10만 배럴에서 10년 후에는 27만 배럴로 늘어날 전망이다.</p>","2011",일본,종합무역,미국,샘슨인베스트먼트,샘슨인베스트먼트,"5,400억엔",사업다각화,"",합작투자(지분 25%),I,"20210119",S,"20231014"
"667",국내-국내(In-In),수수팬트리,"<p>바른테크놀로지의 최대주주인 (주)바른전자 및 특수관계인이 보유한 주식회사 바른테크놀로지의 보통주식(6,648,714주,19.59%)을 주식회사 수수팬트리에게 양도하기로 하고, 경영권을 양도하는 주식양수도계약을 체결하였습니다.<br></p>","2019","",놀이테마 시설,"",바른전자,바른전자,"70",최대주주 변경을 수반하는 주식양수도 계약,"","",I,"20210119",S,"20231014"
"220",국내-국내(In-In),타이거일렉,<p>타이거일렉이 100% 자회사인 울트라텍(주)을 흡수합병하게 되는 본 합병은 신주발행의 실질적인 효과가 없다고 볼 수 있음. 주권상장법인인 (주)타이거일렉의 소액주주 권익 보호 관점에서도 주식을 추가적으로 발행하지 않는 무증자방식에 의한 1:0의 합병방식으로 진행<br></p>,"2016","",연성 및 기타 인쇄회로기판 제조,"",울트라텍,울트라텍,"",운영효율화를 통한 사업 경쟁력 확보 및 성장동력 확보,"","",I,"20210119",S,"20231014"
"78",국내-해외(In-Out),맥쿼리PE,<p>호주계 사모펀드인 맥쿼리PE가 MBK파트너스로부터 대성산업가스 지분 100%를 약 2조5000억 인수하는 내용의 주식매매계약을 체결하였다.&nbsp;<br></p><p>대성산업가스는 1979년 대성산업과 글로벌 산업용가스기업인 프랑스 에어리퀴드이 합작한 기업이다. MBK파트너스는 2017년 재무상태가 악화된 대성산업가스 경영권을 1조8000억원에 사들였다. 이번 거래로 인수 2년 만에 7000억원 이상의 매각 차익을 얻게 됐다. 인수금융 리파이낸싱 등을 통해 회수한 자금을 감안하면 대성산업가스 투자로 1조원 넘는 이익을 본것으로 예상된다.</p>,"2019",호주,금융펀드,한국,대성산업가스,대성산업가스,"25,000","","","",I,"20210119",S,"20231014"
"850",국내-국내(In-In),위메이드,"<p>합병법인인 주식회사 위메이드는 본 합병을 통하여 인적, 물적 자원을 보다 효율적으로 활용하는 등 경영효율성을 증대하고 사업시너지 효과 극대화를 달성함으로써 기업가치를 제고할 수 있을 것으로 기대하고 있습니다.<br></p>","2020","",온라인 게임,"",위메이드서비스,위메이드서비스,"",합병법인 주식회사 위메이드는 본 합병을 통하여 직접 퍼블리싱을 통한 역량 강화 및 수익성 증대를 달성함으로써 기업가치를 제고,"","",I,"20210119",S,"20231014"
"709",국내-국내(In-In),KG이니시스,"<p>KG이니시스는 KGICT 발행주식의 100%를 보유하고 있고, 합병법인은 피합병법인을 합병비율 1:0으로 흡수합병하며, 본 합병으로 인하여 합병법인인 KG이니시스는 존속회사로 계속 남고 피합병법인인 KGICT는 소멸됨.<br></p>","2019","",온라인 전자결제,"",KGICT,KGICT,"",종속회사로 유지함에 따른 불필요한 자원 비용절감을 통해 경영 효율성을 제고,"","",I,"20210119",S,"20231014"
"797",국내-국내(In-In),화승인더스트리,"<p>(1) 회사의 경영에 미치는 영향 및 효과</p><p>- 본 합병 완료시 (주)화승인더스트리는 존속회사로 남아있게 되며 피합병법인인 (주)휴노믹은 합병 후 해산하게 됨</p><p>- 본 합병으로 인한 존속회사의 최대주주 변경은 없으며 실질적인 경영권 변동은 발생하지 않음</p><p>- 합병법인 (주)화승인더스트리는 본 합병을 함에 있어 신주를 발행하지 않음</p><p>&nbsp;</p><p>(2) 회사의 재무에 미치는 영향 및 효과</p><p>- 본 합병으로 인해 각각 별도법인으로 운영됨에 따라 발생했던 관리 중복, 불필요한 비용 지출 등을 제거하고 효율적인 자원 배분으로 역량을 집중해 합병회사의 전반적인 비용 절감 및 재무구조 개선이 될 것으로 기대됨</p><p>- 존속회사는 합병기일에 소멸회사의 자산, 부채 및 권리, 의무의 일체를 승계함</p><p>&nbsp;</p><p>(3) 회사의 영업에 미치는 영향 및 효과</p><p>- 법인간 분리되어 있던 운영주체가 일치되어 비용절감 및 시너지를 극대화하여 기업가치를 높일 수 있을 것으로 예상되며 양사간 합병은 궁극적으로 주주가치를 제고하고 회사의 재무 및 영업에 긍정적인 영향을 미칠 것으로 판단됨</p>","2019","",화학,"",휴노믹,휴노믹,"",불필요한 자원 및 비용절감을 통한 경영효율성 제고,"","",I,"20210119",S,"20231014"
"697",국내-국내(In-In),트리니티에쿼티 유한회사,"<p>나노캠텍의 최대주주 주식회사 제이앤에스파트너는 보유주식 3,119,930주(13.67%)를 케이와이 1호 투자조합, 트리니티에쿼티 유한회사에게 주식 및 경영권을 양도하는 계약을 다음과 같이 체결하였습니다.<br></p>","2019","",경영컨설팅,"",제이앤에스파트너,제이앤에스파트너,"203",최대주주 변경을 수반하는 주식양수도 계약,"","",I,"20210119",S,"20231014"
"798",국내-국내(In-In),초록뱀미디어,"<p>(1) 회사의 경영에 미치는 영향</p><p>본 보고서 제출일 현재 피합병법인인 주식회사 아라코퍼레이션의 최대주주는 합병법인인 주식회사 초록뱀미디어로 100% 지분을 보유하고 있다. 또한 합병법인은 피합병법인을 합병비율 1 : 0으로 흡수합병하며, 본 합병으로 인하여 합병법인이 발행할 신주는 없다.</p><p>본 합병완료 시 최대주주의 변경은 없으며, 합병법인인 주식회사 초록뱀미디어는 존속회사로 계속 남아있게 된다.</p><p><br></p><p>(2) 회사의 재무, 영업에 미치는 영향</p><p>본 합병을 통해 합병법인인 주식회사 초록뱀미디어가 피합병법인인 주식회사 아라코퍼레이션을 종속회사로 유지함에 따른 불필요한 자원낭비를 줄이고 인적, 물적 자원을 효율적으로 활용함으로써, 경영효율성 증대를 기대할 수 있습니다. 이에 본건 합병의 효과는 궁극적으로 합병당사회사의 재무 및 영업에 긍정적인 영향을 줄 수 있을 것으로 판단된다.</p>","2019","",엔터테인먼트,"",아라코퍼레이션,아라코퍼레이션,"",경영효율성 증대 및 주주가치 제고,"","",I,"20210119",S,"20231014"
"857",국내-국내(In-In),네이버웹툰,<p>중국을 제외한 글로벌 웹툰 사업부문 및 국내 사업부문 등 컨텐츠 플랫폼 관련 사업부문 일체<br></p>,"2020","",웹툰 컨텐츠,"",웹툰엔터테인먼트코리아,웹툰엔터테인먼트코리아,"",지배구조 체계 변경을 통한 기업가치 및 주주가치 제고,"","",I,"20210119",S,"20231014"
"361",국내-국내(In-In),호반건설,<p>합병회사인 (주)호반건설은 합병시 피합병회사인 (주)에이치비토건의 주식에 대해 신주를 발행하지 않으므로 합병비율을 1:0으로 산출<br></p>,"2018","",주거용건물 건설 및 분양,"",에이치비토건,에이치비토건,"",경영 효율성 증대 및 사업간 시너지 효과의 극대화,"","",I,"20210119",S,"20231014"
"385",국내-국내(In-In),에스피씨삼립,"<p>1. 회사 경영에 미치는 효과</p><p>본 주요사항보고서 제출일 현재 (주)에스피씨삼립은 (주)밀다원의 지분을 100% 보유하고 있음. 본 합병 완료시 (주)에스피씨삼립은 존속회사로 계속 남아 있게 되며, 피합병법인 (주)밀다원은 합병 후 해산하게 됨. 합병법인 (주)에스피시삼립은 본 합병을 함에 있어 신주를 발행하지 않으며, 본 합병 완료 후 (주)에스피씨삼립의 최대주주 변경은 없음</p><p><br></p><p>2. 회사 재무 및 영업에 미치는 영향 및 효과</p><p>본 합병을 통해 경영 효율성을 제고하여, 회사의 재무 및 영업에 긍정적인 영향을 미칠 것으로 예상함</p>","2018","",제과 제빵,"",밀다원,밀다원,"",완전자회사의 흡수합병을 통해 경영 효율성을 제고하고자 함,"","",I,"20210119",S,"20231014"
"465",해외-해외(Out-Out),켐차이나,"<p>켐차이나(중국화공그룹·CNCC)가 스위스 농약·종자기업인 신젠타를 인수한다.</p><p>인수 금액은 430억달러(약 52조원) 이상으로 중국 기업의 해외 인수합병(M&amp;A) 사례 중 역대 최대 규모다.</p><p>켐차이나는 주당 현금 465달러, 특별배당금 5스위스프랑에 인수를 제안했다. 주당 약 480스위스프랑(약 57만원)으로 2일 신젠타 종가인 392.30스위스프랑보다 약 22%, 지난해 켐차이나가 제시했던 449스위스프랑보다 약 7% 높은 금액이다. 신젠타 주주는 추가로 올해 5월 예정된 배당금 11스위스프랑(약 1만3000원)도 받는다.<br></p>","2016",중국,화학,스위스,신젠타,신젠타,"430억달러","",전액현금지급,"",I,"20210119",S,"20231014"
"443",해외-해외(Out-Out),도쿄해상,"<p>도쿄해상홀딩스는 미국 특수보험사 HCC인슈어런스홀딩스의 지분 100%를 75억달러(약 8조3287억원)에 인수하기로 했다. 이번 인수 규모는 올해 일본 인수합병(M&amp;A) 중 가장 큰 규모다.&nbsp;</p><p>도쿄해상은 주당 78달러를 현금으로 지급하기로 했으며 이는 HCC의 지난 한달동안 평균 주가에 35.8% 프리미엄을 더한 가격이. HCC의 인수는 도쿄해상의 미국 사업을 강화하기 위한 전략이다. 도쿄해상은 일본과 세계 시장에서 사업 기반을 강화하는 동시에 이번 인수를 통한 특수분야 보험사업 확장으로 도쿄해상의 입지를 견고하게 할 계획이다.&nbsp;</p><p>도쿄해상측은 “이번 인수로 도쿄해상이 더 다양하고 수익률 높은 글로벌 포트폴리오를 구축하게 됐다”며 “도쿄해상의 안전한 재정과 해외 네트워크를 기반으로 HCC는 매출, 수익 등을 더욱 확대할 수 있을 것”이라고 말했다.</p>","2015",일본,보험,미국,HCC,HCC,"75억달러",미국 시장 공략,현금지급,"",I,"20210119",S,"20231014"
"835",국내-국내(In-In),삼양사,"<p>회사의 경영에 미치는 영향 및 효과</p><p>- 본 합병으로 인해 실질적인 경영권 변동은 발생하지 않습니다.</p><p>- 본 합병 완료시 존속회사의 최대주주의 지분은 61.83%이며, 최대주주의 변경은 없습니다</p>","2020","",설탕 제조,"",크리켐,크리켐,"11","기존 사업간의 인적, 물적 자원의 공유를 통한 효율적인 조직운영과 관리비용 절감을 통한 경영효율화를 달성","","",I,"20210119",S,"20231014"
